 lr: 2.500000e-05, epoch: [14200/150000], all_loss: [0.1405], m_loss:[0.0893], s_loss:[0.0512] 
 lr: 2.500000e-05, epoch: [14300/150000], all_loss: [0.0597], m_loss:[0.0374], s_loss:[0.0223] 
 lr: 2.500000e-05, epoch: [14400/150000], all_loss: [0.0629], m_loss:[0.0384], s_loss:[0.0245] 
 lr: 2.500000e-05, epoch: [14500/150000], all_loss: [0.0918], m_loss:[0.0555], s_loss:[0.0362] 
 lr: 2.500000e-05, epoch: [14600/150000], all_loss: [0.0623], m_loss:[0.0417], s_loss:[0.0206] 
 lr: 2.500000e-05, epoch: [14700/150000], all_loss: [0.0560], m_loss:[0.0417], s_loss:[0.0143] 
 lr: 2.500000e-05, epoch: [14800/150000], all_loss: [0.0371], m_loss:[0.0248], s_loss:[0.0123] 
 lr: 2.500000e-05, epoch: [14900/150000], all_loss: [0.0895], m_loss:[0.0616], s_loss:[0.0279] 
 lr: 2.500000e-05, epoch: [15000/150000], all_loss: [0.0431], m_loss:[0.0252], s_loss:[0.0179] 
 iCoseg Cosal2015 f: [0.8412], m: [0.0762], f: [0.8484], m: [0.0841]
 lr: 2.500000e-05, epoch: [15100/150000], all_loss: [0.0500], m_loss:[0.0275], s_loss:[0.0226] 
 lr: 2.500000e-05, epoch: [15200/150000], all_loss: [0.1515], m_loss:[0.0910], s_loss:[0.0605] 
 lr: 2.500000e-05, epoch: [15300/150000], all_loss: [0.0368], m_loss:[0.0225], s_loss:[0.0143] 
 lr: 2.500000e-05, epoch: [15400/150000], all_loss: [0.0270], m_loss:[0.0180], s_loss:[0.0090] 
 lr: 2.500000e-05, epoch: [15500/150000], all_loss: [0.0773], m_loss:[0.0447], s_loss:[0.0326] 
 lr: 2.500000e-05, epoch: [15600/150000], all_loss: [0.0447], m_loss:[0.0331], s_loss:[0.0117] 
 lr: 2.500000e-05, epoch: [15700/150000], all_loss: [0.0380], m_loss:[0.0181], s_loss:[0.0199] 
 lr: 2.500000e-05, epoch: [15800/150000], all_loss: [0.0934], m_loss:[0.0634], s_loss:[0.0300] 
 lr: 2.500000e-05, epoch: [15900/150000], all_loss: [0.0944], m_loss:[0.0630], s_loss:[0.0314] 
 lr: 2.500000e-05, epoch: [16000/150000], all_loss: [0.0697], m_loss:[0.0480], s_loss:[0.0217] 
 lr: 2.500000e-05, epoch: [16100/150000], all_loss: [0.0333], m_loss:[0.0207], s_loss:[0.0126] 
 lr: 2.500000e-05, epoch: [16200/150000], all_loss: [0.0547], m_loss:[0.0348], s_loss:[0.0199] 
 lr: 2.500000e-05, epoch: [16300/150000], all_loss: [0.0554], m_loss:[0.0362], s_loss:[0.0192] 
 lr: 2.500000e-05, epoch: [16400/150000], all_loss: [0.0438], m_loss:[0.0272], s_loss:[0.0167] 
 lr: 2.500000e-05, epoch: [16500/150000], all_loss: [0.0837], m_loss:[0.0549], s_loss:[0.0289] 
 lr: 2.500000e-05, epoch: [16600/150000], all_loss: [0.0230], m_loss:[0.0129], s_loss:[0.0101] 
 lr: 2.500000e-05, epoch: [16700/150000], all_loss: [0.0230], m_loss:[0.0131], s_loss:[0.0099] 
 lr: 2.500000e-05, epoch: [16800/150000], all_loss: [0.0634], m_loss:[0.0422], s_loss:[0.0212] 
 lr: 2.500000e-05, epoch: [16900/150000], all_loss: [0.1191], m_loss:[0.0698], s_loss:[0.0493] 
 lr: 2.500000e-05, epoch: [17000/150000], all_loss: [0.0295], m_loss:[0.0170], s_loss:[0.0125] 
 lr: 2.500000e-05, epoch: [17100/150000], all_loss: [0.0309], m_loss:[0.0199], s_loss:[0.0110] 
 lr: 2.500000e-05, epoch: [17200/150000], all_loss: [0.0557], m_loss:[0.0349], s_loss:[0.0207] 
 lr: 2.500000e-05, epoch: [17300/150000], all_loss: [0.0816], m_loss:[0.0618], s_loss:[0.0199] 
 lr: 2.500000e-05, epoch: [17400/150000], all_loss: [0.0240], m_loss:[0.0144], s_loss:[0.0097] 
 lr: 2.500000e-05, epoch: [17500/150000], all_loss: [0.0601], m_loss:[0.0373], s_loss:[0.0229] 
 iCoseg Cosal2015 f: [0.8481], m: [0.0744], f: [0.8512], m: [0.0847]
 lr: 2.500000e-05, epoch: [17600/150000], all_loss: [0.0814], m_loss:[0.0434], s_loss:[0.0379] 
 lr: 2.500000e-05, epoch: [17700/150000], all_loss: [0.2967], m_loss:[0.2219], s_loss:[0.0749] 
 lr: 2.500000e-05, epoch: [17800/150000], all_loss: [0.4211], m_loss:[0.3101], s_loss:[0.1110] 
 lr: 2.500000e-05, epoch: [17900/150000], all_loss: [0.0564], m_loss:[0.0415], s_loss:[0.0149] 
 lr: 2.500000e-05, epoch: [18000/150000], all_loss: [0.0352], m_loss:[0.0251], s_loss:[0.0101] 
 lr: 2.500000e-05, epoch: [18100/150000], all_loss: [0.1882], m_loss:[0.1203], s_loss:[0.0679] 
 lr: 2.500000e-05, epoch: [18200/150000], all_loss: [0.0555], m_loss:[0.0378], s_loss:[0.0177] 
 lr: 2.500000e-05, epoch: [18300/150000], all_loss: [0.0556], m_loss:[0.0326], s_loss:[0.0229] 
 lr: 2.500000e-05, epoch: [18400/150000], all_loss: [0.0305], m_loss:[0.0170], s_loss:[0.0135] 
 lr: 2.500000e-05, epoch: [18500/150000], all_loss: [0.0413], m_loss:[0.0269], s_loss:[0.0145] 
 lr: 2.500000e-05, epoch: [18600/150000], all_loss: [0.0511], m_loss:[0.0365], s_loss:[0.0146] 
 lr: 2.500000e-05, epoch: [18700/150000], all_loss: [0.0604], m_loss:[0.0416], s_loss:[0.0188] 
 lr: 2.500000e-05, epoch: [18800/150000], all_loss: [0.0371], m_loss:[0.0262], s_loss:[0.0109] 
 lr: 2.500000e-05, epoch: [18900/150000], all_loss: [0.0217], m_loss:[0.0117], s_loss:[0.0100] 
 lr: 2.500000e-05, epoch: [19000/150000], all_loss: [0.0523], m_loss:[0.0396], s_loss:[0.0127] 
 lr: 2.500000e-05, epoch: [19100/150000], all_loss: [0.0436], m_loss:[0.0247], s_loss:[0.0189] 
 lr: 2.500000e-05, epoch: [19200/150000], all_loss: [0.0359], m_loss:[0.0259], s_loss:[0.0100] 
 lr: 2.500000e-05, epoch: [19300/150000], all_loss: [0.1068], m_loss:[0.0746], s_loss:[0.0323] 
 lr: 2.500000e-05, epoch: [19400/150000], all_loss: [0.0520], m_loss:[0.0301], s_loss:[0.0219] 
 lr: 2.500000e-05, epoch: [19500/150000], all_loss: [0.0745], m_loss:[0.0490], s_loss:[0.0255] 
 lr: 2.500000e-05, epoch: [19600/150000], all_loss: [0.0444], m_loss:[0.0320], s_loss:[0.0124] 
 lr: 2.500000e-05, epoch: [19700/150000], all_loss: [0.0429], m_loss:[0.0281], s_loss:[0.0148] 
 lr: 2.500000e-05, epoch: [19800/150000], all_loss: [0.0671], m_loss:[0.0424], s_loss:[0.0247] 
 lr: 2.500000e-05, epoch: [19900/150000], all_loss: [0.0463], m_loss:[0.0300], s_loss:[0.0163] 
 lr: 2.500000e-05, epoch: [20000/150000], all_loss: [0.0282], m_loss:[0.0162], s_loss:[0.0120] 
 iCoseg Cosal2015 f: [0.8469], m: [0.0747], f: [0.8466], m: [0.0859]
 lr: 2.500000e-05, epoch: [20100/150000], all_loss: [0.0554], m_loss:[0.0398], s_loss:[0.0156] 
 lr: 2.500000e-05, epoch: [20200/150000], all_loss: [0.0431], m_loss:[0.0249], s_loss:[0.0182] 
 lr: 2.500000e-05, epoch: [20300/150000], all_loss: [0.0366], m_loss:[0.0206], s_loss:[0.0160] 
 lr: 2.500000e-05, epoch: [20400/150000], all_loss: [0.0342], m_loss:[0.0218], s_loss:[0.0124] 
 lr: 2.500000e-05, epoch: [20500/150000], all_loss: [0.0449], m_loss:[0.0325], s_loss:[0.0124] 
 lr: 2.500000e-05, epoch: [20600/150000], all_loss: [0.0232], m_loss:[0.0158], s_loss:[0.0073] 
 lr: 2.500000e-05, epoch: [20700/150000], all_loss: [0.0655], m_loss:[0.0438], s_loss:[0.0217] 
